日期,證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1150326","0050","元大台灣50","80069071","6102674371","76.30","76.85","75.60","75.80","-0.4000","80270"
"1150326","0051","元大中型100","59883","6680493","110.10","112.65","110.10","110.30","0.0000","520"
"1150326","0052","富邦科技","23579476","1065190498","45.21","45.49","44.86","44.90","-0.1800","14997"
"1150326","0053","元大電子","12912","2213114","172.00","172.70","170.95","170.95","0.4500","183"
"1150326","0055","元大MSCI金融","80411","2616865","32.55","32.66","32.45","32.46","-0.1400","382"
"1150326","0056","元大高股息","30512264","1180034826","38.60","38.85","38.55","38.56","-0.0200","18701"
"1150326","0057","富邦摩台","8980","2042849","228.80","229.30","225.65","226.50","-0.9000","112"
"1150326","0061","元大寶滬深","75471","1741287","23.24","23.24","23.00","23.00","-0.0700","170"
"1150326","006203","元大MSCI台灣","2588","358110","138.95","138.95","138.95","138.95","0.8000","105"
"1150326","006204","永豐臺灣加權","6483","1110066","172.00","172.00","170.60","171.35","0.1500","112"
"1150326","006205","富邦上証","158876","6236919","39.51","39.52","39.00","39.00","-0.4300","258"
"1150326","006206","元大上證50","33683","1211435","36.00","36.25","35.77","35.77","-0.3800","191"
"1150326","006207","復華滬深","109873","3403527","31.12","31.12","30.81","30.81","-0.2600","118"
"1150326","006208","富邦台50","2761058","488968490","177.05","178.45","175.95","176.15","-0.4000","6511"
"1150326","00625K","富邦上証+R","","","","","","","0.0000",""
"1150326","00632R","元大台灣50反1","101337032","1425574341","14.04","14.19","13.94","14.19","0.0900","11015"
"1150326","00633L","富邦上証正2","2372471","108549840","45.85","46.13","45.32","45.35","-0.3700","376"
"1150326","00634R","富邦上証反1","549020","1817446","3.31","3.33","3.30","3.33","0.0000","11"
"1150326","00635U","期元大S&P黃金","7838923","375039592","48.05","48.05","47.56","47.56","-0.7000","10613"
"1150326","00636","國泰中國A50","333376","8889477","26.74","26.76","26.55","26.55","-0.1900","216"
"1150326","00636K","國泰中國A50+U","200","1682","8.41","8.41","8.41","8.41","0.0400","2"
"1150326","00637L","元大滬深300正2","18835105","357208173","18.94","19.08","18.76","18.76","-0.1700","2089"
"1150326","00638R","元大滬深300反1","402058","2865976","7.14","7.17","7.11","7.17","0.0200","32"
"1150326","00639","富邦深100","331436","5207048","15.76","15.79","15.60","15.62","-0.1300","217"
"1150326","00640L","富邦日本正2","619740","53518061","87.25","87.30","85.05","85.05","-1.5000","214"
"1150326","00641R","富邦日本反1","1321175","5633390","4.21","4.29","4.21","4.29","0.0500","80"
"1150326","00642U","期元大S&P石油","20927720","519982558","24.70","25.01","24.68","24.98","0.9100","5751"
"1150326","00643","群益深証中小","1961754","34736141","17.81","17.81","17.54","17.54","-0.2800","158"
"1150326","00643K","群益深証中小+R","","","","","","","0.0000",""
"1150326","00645","富邦日本","154966","7892277","51.10","51.20","50.60","50.60","-0.4000","420"
"1150326","00646","元大S&P500","3234686","213748353","66.25","66.25","65.90","65.95","-0.4500","4892"
"1150326","00647L","元大S&P500正2","69922","7444010","106.75","107.10","105.95","106.00","-1.3500","163"
"1150326","00648R","元大S&P500反1","1685100","7695845","4.56","4.59","4.55","4.59","0.0400","56"
"1150326","00650L","復華香港正2","4016271","66525962","16.84","16.85","16.34","16.34","-0.3600","750"
"1150326","00651R","復華香港反1","138889","756123","5.39","5.46","5.39","5.46","0.0500","24"
"1150326","00652","富邦印度","292912","9631245","32.94","32.99","32.76","32.76","-0.1700","408"
"1150326","00653L","富邦印度正2","145875","6521917","45.18","45.18","44.36","44.40","-0.7800","134"
"1150326","00654R","富邦印度反1","93100","658057","7.06","7.10","7.05","7.10","0.0600","22"
"1150326","00655L","國泰中國A50正2","1142528","36468491","31.83","32.13","31.58","31.60","-0.2300","238"
"1150326","00656R","國泰中國A50反1","193530","1223904","6.32","6.35","6.29","6.35","0.0200","18"
"1150326","00657","國泰日經225","46053","2906420","63.55","63.55","62.55","62.55","-0.7500","85"
"1150326","00657K","國泰日經225+U","200","3952","19.76","19.76","19.76","19.76","0.0600","2"
"1150326","00660","元大歐洲50","8765","357287","40.79","40.79","40.64","40.72","0.0800","83"
"1150326","00661","元大日經225","140484","9718291","69.60","69.80","68.70","68.75","-0.5500","311"
"1150326","00662","富邦NASDAQ","3096501","306491430","99.30","99.30","98.60","98.80","-0.4500","4141"
"1150326","00663L","國泰臺灣加權正2","14571674","898576623","61.60","62.70","60.55","60.55","-0.6000","6717"
"1150326","00664R","國泰臺灣加權反1","19281512","43856552","2.28","2.30","2.25","2.29","0.0100","656"
"1150326","00665L","富邦恒生國企正2","15226001","144012300","9.63","9.65","9.31","9.32","-0.2400","1955"
"1150326","00666R","富邦恒生國企反1","38000","356030","9.32","9.41","9.32","9.41","0.1300","9"
"1150326","00668","國泰美國道瓊","66725","3600898","54.15","54.15","53.95","53.95","-0.2500","97"
"1150326","00668K","國泰美國道瓊+U","200","3392","16.96","16.96","16.96","16.96","0.1100","2"
"1150326","00669R","國泰美國道瓊反1","1303350","7766709","5.94","5.97","5.94","5.97","0.0400","85"
"1150326","00670L","富邦NASDAQ正2","1361526","194451655","143.30","143.50","141.80","142.15","-1.5000","1513"
"1150326","00671R","富邦NASDAQ反1","3832163","11518147","3.00","3.02","2.99","3.02","0.0200","218"
"1150326","00673R","期元大S&P原油反1","6232667","116186612","18.50","18.74","18.50","18.65","-0.2500","1548"
"1150326","00674R","期元大S&P黃金反1","2332199","12787577","5.46","5.52","5.45","5.52","0.0800","101"
"1150326","00675L","富邦臺灣加權正2","3937314","735207326","187.40","189.90","183.55","183.55","-2.0500","3172"
"1150326","00676R","富邦臺灣加權反1","7723588","59750999","7.73","7.79","7.66","7.79","0.0300","597"
"1150326","00678","群益那斯達克生技","283646","10029721","35.21","35.39","35.21","35.38","0.8300","121"
"1150326","00680L","元大美債20正2","7080672","50048259","7.08","7.09","7.05","7.05","-0.0400","479"
